Estado,Pais,CasosConfirmados,Mortes
New Mexico,US,1033,11
New Mexico,US,4906,106
New Mexico,US,17533,535
New Mexico,US,472,14
New Mexico,US,9142,145
New Mexico,US,1577,31
New Mexico,US,6329,95
New Mexico,US,3509,81
New Mexico,US,28401,653
New Mexico,US,3429,34
New Mexico,US,21183,311
New Mexico,US,16918,204
New Mexico,US,1493,64
New Mexico,US,2562,70
New Mexico,US,3288,73
New Mexico,US,1902,35
New Mexico,US,5387,0
New Mexico,US,534,12
New Mexico,US,12690,193
New York,US,41133,439
New York,US,6979,137
New York,US,273105,6906
New York,US,33512,463
New York,US,11497,189
New York,US,11419,120
New York,US,17677,221
New York,US,15092,194
New York,US,6717,101
New York,US,9900,57
New York,US,6954,121
New York,US,7256,92
New York,US,5499,58
New York,US,45626,535
New York,US,148889,2241
New York,US,3694,48
New York,US,6439,30
New York,US,9059,131
New York,US,10177,160
New York,US,6158,97
New York,US,616,4
New York,US,10111,159
New York,US,13251,118
New York,US,469753,11168
New York,US,4771,41
New York,US,8508,93
New York,US,9086,116
New York,US,113676,1349
New York,US,8386,176
New York,US,294650,3405
New York,US,272872,4729
New York,US,34394,470
New York,US,39190,701
New York,US,70960,882
New York,US,14122,144
New York,US,76121,971
New York,US,6471,103
New York,US,17204,147
New York,US,6633,71
New York,US,0,376
New York,US,16740,106
New York,US,421769,10569
New York,US,21133,213
New York,US,117925,2009
New York,US,66565,805
New York,US,30952,267
New York,US,22599,266
New York,US,3429,29
New York,US,2415,23
New York,US,3959,80
New York,US,15180,159
New York,US,14661,216
New York,US,320235,3805
New York,US,12269,102
New York,US,7660,78
New York,US,11545,71
New York,US,22326,312
New York,US,250,1
New York,US,9116,105
New York,US,8325,91
New York,US,12344,125
New York,US,182682,2403
New York,US,6254,74
New York,US,2390,36
North Carolina,US,30060,376
North Carolina,US,7257,119
North Carolina,US,2077,7
North Carolina,US,4249,85
North Carolina,US,4079,58
North Carolina,US,3130,39
North Carolina,US,7915,139
North Carolina,US,2673,54
North Carolina,US,5915,98
North Carolina,US,18381,253
North Carolina,US,32796,452
North Carolina,US,17033,253
North Carolina,US,37565,376
North Carolina,US,14896,231
North Carolina,US,1313,9
North Carolina,US,9180,83
North Carolina,US,3540,39
North Carolina,US,31521,461
North Carolina,US,7764,99
North Carolina,US,4952,89
North Carolina,US,2513,44
North Carolina,US,1763,38
North Carolina,US,20105,324
North Carolina,US,10711,234
North Carolina,US,15427,164
North Carolina,US,51976,511
North Carolina,US,3278,27
North Carolina,US,4660,15
North Carolina,US,29126,339
North Carolina,US,7550,82
North Carolina,US,10721,199
North Carolina,US,39360,269
North Carolina,US,8661,127
North Carolina,US,59258,616
North Carolina,US,11280,64
North Carolina,US,45128,651
North Carolina,US,1223,18
North Carolina,US,1463,28
North Carolina,US,9012,107
North Carolina,US,3640,56
North Carolina,US,76722,943
North Carolina,US,8523,146
North Carolina,US,20392,279
North Carolina,US,8495,160
North Carolina,US,17554,235
North Carolina,US,3020,73
North Carolina,US,8079,90
North Carolina,US,888,12
North Carolina,US,33220,348
North Carolina,US,6296,79
North Carolina,US,36576,347
North Carolina,US,1438,38
North Carolina,US,10242,119
North Carolina,US,10239,181
North Carolina,US,17086,119
North Carolina,US,5388,87
North Carolina,US,3172,66
North Carolina,US,3886,75
North Carolina,US,9335,139
North Carolina,US,179247,1314
North Carolina,US,2365,24
North Carolina,US,4900,110
North Carolina,US,15090,258
North Carolina,US,16764,245
North Carolina,US,31348,300
North Carolina,US,2759,66
North Carolina,US,31864,280
North Carolina,US,13679,112
North Carolina,US,1823,26
North Carolina,US,5830,110
North Carolina,US,9820,103
North Carolina,US,1814,16
North Carolina,US,5889,94
North Carolina,US,32335,146
North Carolina,US,2546,49
North Carolina,US,24478,342
North Carolina,US,7862,155
North Carolina,US,26872,456
North Carolina,US,14256,223
North Carolina,US,28922,488
North Carolina,US,12219,347
North Carolina,US,12137,144
North Carolina,US,6207,110
North Carolina,US,13057,212
North Carolina,US,7550,120
North Carolina,US,14566,256
North Carolina,US,2289,29
North Carolina,US,4463,53
North Carolina,US,618,7
North Carolina,US,19815,27
North Carolina,US,41365,388
North Carolina,US,7804,104
North Carolina,US,152847,920
North Carolina,US,2690,36
North Carolina,US,1729,39
North Carolina,US,7532,44
North Carolina,US,18581,332
North Carolina,US,12038,205
North Carolina,US,14224,243
North Carolina,US,7299,88
North Carolina,US,3472,36
North Dakota,US,472,8
North Dakota,US,2229,40
North Dakota,US,1478,22
North Dakota,US,120,1
North Dakota,US,1186,24
North Dakota,US,682,9
North Dakota,US,360,3
North Dakota,US,25555,281
North Dakota,US,39829,286
North Dakota,US,597,7
North Dakota,US,1188,38
North Dakota,US,338,3
North Dakota,US,872,7
North Dakota,US,605,6
North Dakota,US,611,16
North Dakota,US,727,19
North Dakota,US,392,4
North Dakota,US,15090,104
North Dakota,US,380,9
North Dakota,US,459,2
North Dakota,US,562,7
North Dakota,US,404,13
North Dakota,US,779,18
North Dakota,US,353,11
North Dakota,US,1066,28
North Dakota,US,542,9
North Dakota,US,2681,23
North Dakota,US,2210,47
North Dakota,US,1984,22
North Dakota,US,8566,131
North Dakota,US,2275,32
North Dakota,US,620,16
North Dakota,US,258,4
North Dakota,US,1507,15
North Dakota,US,852,29
North Dakota,US,2625,44
North Dakota,US,1089,23
North Dakota,US,454,15
North Dakota,US,3022,21
North Dakota,US,3591,36
North Dakota,US,784,9
North Dakota,US,237,6
North Dakota,US,987,18
North Dakota,US,55,0
North Dakota,US,9119,79
North Dakota,US,303,2
North Dakota,US,5168,92
North Dakota,US,480,11
North Dakota,US,1665,21
North Dakota,US,0,45
North Dakota,US,2593,34
North Dakota,US,15233,234
North Dakota,US,820,11
North Dakota,US,8121,62
Northern Mariana Islands,US,3255,13
Ohio,US,5008,118
Ohio,US,20964,385
Ohio,US,9235,171
Ohio,US,15510,325
Ohio,US,9068,105
Ohio,US,8724,139
Ohio,US,11473,247
Ohio,US,8064,137
Ohio,US,64354,915
Ohio,US,4255,98
Ohio,US,6577,105
Ohio,US,25201,428
Ohio,US,35711,416
Ohio,US,7344,121
Ohio,US,19079,395
Ohio,US,6129,135
Ohio,US,8448,172
Ohio,US,227664,2936
Ohio,US,9360,195
Ohio,US,8041,131
Ohio,US,31370,203
Ohio,US,15002,220
Ohio,US,28001,326
Ohio,US,5606,84
Ohio,US,208679,1997
Ohio,US,8032,144
Ohio,US,5155,87
Ohio,US,13413,210
Ohio,US,26852,409
Ohio,US,7802,107
Ohio,US,131890,1681
Ohio,US,12894,219
Ohio,US,5449,124
Ohio,US,2444,60
Ohio,US,4810,90
Ohio,US,7612,139
Ohio,US,4709,101
Ohio,US,4321,158
Ohio,US,11334,179
Ohio,US,6371,112
Ohio,US,10833,254
Ohio,US,9906,192
Ohio,US,41121,576
Ohio,US,11750,186
Ohio,US,31025,387
Ohio,US,7817,136
Ohio,US,53732,767
Ohio,US,71957,1133
Ohio,US,7200,104
Ohio,US,41554,893
Ohio,US,14953,225
Ohio,US,31996,406
Ohio,US,3302,69
Ohio,US,7478,112
Ohio,US,19397,378
Ohio,US,2611,67
Ohio,US,89842,1549
Ohio,US,2408,47
Ohio,US,5903,77
Ohio,US,18441,238
Ohio,US,2423,51
Ohio,US,6527,118
Ohio,US,3594,63
Ohio,US,6252,96
Ohio,US,13418,171
Ohio,US,5096,85
Ohio,US,27108,348
Ohio,US,7062,158
Ohio,US,6728,132
Ohio,US,24142,408
Ohio,US,13174,246
Ohio,US,10622,195
Ohio,US,13913,198
Ohio,US,9935,196
Ohio,US,8261,152
Ohio,US,63226,1352
Ohio,US,90813,1354
Ohio,US,32074,733
Ohio,US,16336,417
Ohio,US,0,8
Ohio,US,10864,81
Ohio,US,5098,117
Ohio,US,2074,45
Ohio,US,40697,465
Ohio,US,9299,168
Ohio,US,18059,344
Ohio,US,7106,131
Ohio,US,22809,284
Ohio,US,4191,84
Oklahoma,US,5150,63
Oklahoma,US,1425,10
Oklahoma,US,2827,40
Oklahoma,US,672,10
Oklahoma,US,4248,84
Oklahoma,US,1702,32
Oklahoma,US,9385,118
Oklahoma,US,5640,137
Oklahoma,US,25428,312
Oklahoma,US,9625,200
Oklahoma,US,9429,126
Oklahoma,US,2869,52
Oklahoma,US,417,0
Oklahoma,US,47093,643
Oklahoma,US,1105,20
Oklahoma,US,22094,330
Oklahoma,US,1028,23
Oklahoma,US,3342,36
Oklahoma,US,12165,277
Oklahoma,US,5704,134
Oklahoma,US,7926,168
Oklahoma,US,769,24
Oklahoma,US,556,6
Oklahoma,US,10966,220
Oklahoma,US,5143,107
Oklahoma,US,9044,200
Oklahoma,US,741,8
Oklahoma,US,840,27
Oklahoma,US,404,9
Oklahoma,US,551,10
Oklahoma,US,1934,32
Oklahoma,US,1836,48
Oklahoma,US,4410,89
Oklahoma,US,978,20
Oklahoma,US,2044,49
Oklahoma,US,8465,172
Oklahoma,US,2763,56
Oklahoma,US,1245,45
Oklahoma,US,1633,28
Oklahoma,US,8753,94
Oklahoma,US,5272,118
Oklahoma,US,6686,127
Oklahoma,US,2075,30
Oklahoma,US,1467,34
Oklahoma,US,2959,31
Oklahoma,US,7280,133
Oklahoma,US,8112,107
Oklahoma,US,5944,139
Oklahoma,US,3064,106
Oklahoma,US,2837,57
Oklahoma,US,14243,279
Oklahoma,US,2022,34
Oklahoma,US,1956,33
Oklahoma,US,2503,49
Oklahoma,US,130316,1983
Oklahoma,US,6606,153
Oklahoma,US,7556,139
Oklahoma,US,6667,106
Oklahoma,US,0,0
Oklahoma,US,2900,69
Oklahoma,US,12814,127
Oklahoma,US,7275,169
Oklahoma,US,7425,108
Oklahoma,US,13389,214
Oklahoma,US,1883,40
Oklahoma,US,686,12
Oklahoma,US,17331,312
Oklahoma,US,4179,107
Oklahoma,US,7130,94
Oklahoma,US,8217,156
Oklahoma,US,4507,42
Oklahoma,US,1081,26
Oklahoma,US,117450,1809
Oklahoma,US,12271,869
Oklahoma,US,13729,219
Oklahoma,US,9041,210
Oklahoma,US,1739,34
Oklahoma,US,1783,30
Oklahoma,US,4194,55
Oregon,US,2310,36
Oregon,US,6767,43
Oregon,US,35476,428
Oregon,US,2830,36
Oregon,US,4755,61
Oregon,US,6396,122
Oregon,US,3650,60
Oregon,US,2006,40
Oregon,US,26067,215
Oregon,US,14269,315
Oregon,US,197,4
Oregon,US,1174,17
Oregon,US,1254,34
Oregon,US,2304,38
Oregon,US,26640,390
Oregon,US,4437,69
Oregon,US,10997,266
Oregon,US,9396,169
Oregon,US,1081,21
Oregon,US,32273,383
Oregon,US,3915,58
Oregon,US,15971,206
Oregon,US,6040,94
Oregon,US,42126,547
Oregon,US,2049,25
Oregon,US,65814,902
Oregon,US,8857,111
Oregon,US,201,3
Oregon,US,2382,49
Oregon,US,15664,187
Oregon,US,0,0
Oregon,US,3528,64
Oregon,US,787,13
Oregon,US,3322,48
Oregon,US,45682,442
Oregon,US,139,2
Oregon,US,10507,157
Pennsylvania,US,18341,274
Pennsylvania,US,176336,2725
Pennsylvania,US,11890,275
Pennsylvania,US,29633,604
Pennsylvania,US,8761,226
Pennsylvania,US,76376,1319
Pennsylvania,US,22985,499
Pennsylvania,US,10811,154
Pennsylvania,US,91995,1553
Pennsylvania,US,32851,614
Pennsylvania,US,25426,620
Pennsylvania,US,647,13
Pennsylvania,US,11890,232
Pennsylvania,US,26176,289
Pennsylvania,US,66965,967
Pennsylvania,US,6526,171
Pennsylvania,US,14487,260
Pennsylvania,US,6803,105
Pennsylvania,US,10988,191
Pennsylvania,US,15155,260
Pennsylvania,US,36898,721
Pennsylvania,US,43920,758
Pennsylvania,US,79520,1582
Pennsylvania,US,5335,76
Pennsylvania,US,41463,630
Pennsylvania,US,23005,539
Pennsylvania,US,1854,31
Pennsylvania,US,29682,550
Pennsylvania,US,3142,49
Pennsylvania,US,6341,80
Pennsylvania,US,8475,203
Pennsylvania,US,12529,297
Pennsylvania,US,6882,185
Pennsylvania,US,3815,147
Pennsylvania,US,29690,598
Pennsylvania,US,91511,1554
Pennsylvania,US,14539,334
Pennsylvania,US,27333,400
Pennsylvania,US,63964,1047
Pennsylvania,US,53501,1070
Pennsylvania,US,21785,443
Pennsylvania,US,6322,114
Pennsylvania,US,18155,430
Pennsylvania,US,9241,238
Pennsylvania,US,26142,417
Pennsylvania,US,110575,1996
Pennsylvania,US,3280,81
Pennsylvania,US,58875,882
Pennsylvania,US,17071,471
Pennsylvania,US,6846,154
Pennsylvania,US,225031,4257
Pennsylvania,US,7168,73
Pennsylvania,US,2580,79
Pennsylvania,US,26171,554
Pennsylvania,US,6283,127
Pennsylvania,US,14042,330
Pennsylvania,US,797,28
Pennsylvania,US,5757,86
Pennsylvania,US,6240,172
Pennsylvania,US,0,0
Pennsylvania,US,8991,133
Pennsylvania,US,8951,200
Pennsylvania,US,5600,180
Pennsylvania,US,35399,513
Pennsylvania,US,7603,140
Pennsylvania,US,59161,1121
Pennsylvania,US,3805,89
Pennsylvania,US,86112,1195
Puerto Rico,US,888,0
Puerto Rico,US,3106,0
Puerto Rico,US,3584,0
Puerto Rico,US,2029,0
Puerto Rico,US,1571,0
Puerto Rico,US,1769,0
Puerto Rico,US,5828,0
Puerto Rico,US,664,0
Puerto Rico,US,1499,0
Puerto Rico,US,2314,0
Puerto Rico,US,19501,0
Puerto Rico,US,2563,0
Puerto Rico,US,12031,0
Puerto Rico,US,2171,0
Puerto Rico,US,3746,0
Puerto Rico,US,16569,0
Puerto Rico,US,2211,0
Puerto Rico,US,2798,0
Puerto Rico,US,691,0
Puerto Rico,US,1264,0
Puerto Rico,US,2724,0
Puerto Rico,US,1880,0
Puerto Rico,US,1247,0
Puerto Rico,US,2962,0
Puerto Rico,US,116,0
Puerto Rico,US,3794,0
Puerto Rico,US,2386,0
Puerto Rico,US,940,0
Puerto Rico,US,562,0
Puerto Rico,US,1898,0
Puerto Rico,US,743,0
Puerto Rico,US,8887,0
Puerto Rico,US,3880,0
Puerto Rico,US,2303,0
Puerto Rico,US,908,0
Puerto Rico,US,3894,0
Puerto Rico,US,3106,0
Puerto Rico,US,630,0
Puerto Rico,US,2500,0
Puerto Rico,US,3642,0
Puerto Rico,US,997,0
Puerto Rico,US,1566,0
Puerto Rico,US,409,0
Puerto Rico,US,2828,0
Puerto Rico,US,1984,0
Puerto Rico,US,1417,0
Puerto Rico,US,2893,0
Puerto Rico,US,211,0
Puerto Rico,US,614,0
Puerto Rico,US,5074,0
Puerto Rico,US,2809,0
Puerto Rico,US,2349,0
Puerto Rico,US,1715,0
Puerto Rico,US,2835,0
Puerto Rico,US,1444,0
Puerto Rico,US,434,0
Puerto Rico,US,745,0
Puerto Rico,US,1008,0
Puerto Rico,US,7686,0
Puerto Rico,US,1716,0
Puerto Rico,US,1086,0
Puerto Rico,US,4211,0
Puerto Rico,US,961,0
Puerto Rico,US,1369,0
Puerto Rico,US,1508,0
Puerto Rico,US,37257,0
Puerto Rico,US,2913,0
Puerto Rico,US,2913,0
Puerto Rico,US,1085,0
Puerto Rico,US,7011,0
Puerto Rico,US,7176,0
Puerto Rico,US,5724,0
Puerto Rico,US,7403,3305
Puerto Rico,US,1456,0
Puerto Rico,US,3234,0
Puerto Rico,US,5536,0
Puerto Rico,US,277,0
Puerto Rico,US,1371,0
Puerto Rico,US,1944,0
Puerto Rico,US,1756,0
Recovered,US,0,0
Rhode Island,US,7660,156
Rhode Island,US,29360,423
Rhode Island,US,11558,58
Rhode Island,US,138925,2204
Rhode Island,US,24944,33
Rhode Island,US,18649,192
South Carolina,US,4282,54
South Carolina,US,28969,368
South Carolina,US,1408,21
South Carolina,US,40080,819
South Carolina,US,2253,64
South Carolina,US,4060,88
South Carolina,US,28961,325
South Carolina,US,33348,365
South Carolina,US,1878,54
South Carolina,US,71954,755
South Carolina,US,10667,267
South Carolina,US,6979,124
South Carolina,US,8115,158
South Carolina,US,5467,137
South Carolina,US,5962,192
South Carolina,US,12918,239
South Carolina,US,6728,120
South Carolina,US,36561,395
South Carolina,US,4745,60
South Carolina,US,3602,95
South Carolina,US,28548,553
South Carolina,US,10421,190
South Carolina,US,114621,1565
South Carolina,US,13726,242
South Carolina,US,3267,75
South Carolina,US,67157,932
South Carolina,US,4135,82
South Carolina,US,13317,218
South Carolina,US,17632,247
South Carolina,US,12618,247
South Carolina,US,2843,82
South Carolina,US,59455,731
South Carolina,US,5754,143
South Carolina,US,5198,86
South Carolina,US,1486,30
South Carolina,US,8159,153
South Carolina,US,16954,263
South Carolina,US,15642,341
South Carolina,US,29986,512
South Carolina,US,76175,801
South Carolina,US,2688,62
South Carolina,US,65984,1281
South Carolina,US,17974,312
South Carolina,US,0,0
South Carolina,US,5102,113
South Carolina,US,5894,131
South Carolina,US,51647,544
South Dakota,US,611,17
South Dakota,US,3721,49
South Dakota,US,533,9
South Dakota,US,1854,31
South Dakota,US,5778,41
South Dakota,US,7679,107
South Dakota,US,1069,17
South Dakota,US,477,16
South Dakota,US,2146,40
South Dakota,US,210,6
South Dakota,US,2137,32
South Dakota,US,605,6
South Dakota,US,2460,17
South Dakota,US,6450,91
South Dakota,US,768,15
South Dakota,US,1531,20
South Dakota,US,4533,72
South Dakota,US,945,30
South Dakota,US,819,12
South Dakota,US,2224,35
South Dakota,US,590,14
South Dakota,US,712,14
South Dakota,US,1289,30
South Dakota,US,468,16
South Dakota,US,1554,47
South Dakota,US,850,33
South Dakota,US,354,11
South Dakota,US,1212,40
South Dakota,US,440,8
South Dakota,US,509,5
South Dakota,US,170,3
South Dakota,US,3585,53
South Dakota,US,1343,29
South Dakota,US,234,5
South Dakota,US,437,19
South Dakota,US,337,19
South Dakota,US,151,1
South Dakota,US,1028,20
South Dakota,US,1853,22
South Dakota,US,4942,76
South Dakota,US,11951,80
South Dakota,US,900,12
South Dakota,US,570,8
South Dakota,US,1101,30
South Dakota,US,362,9
South Dakota,US,5192,56
South Dakota,US,374,4
South Dakota,US,384,12
South Dakota,US,43580,433
South Dakota,US,981,25
South Dakota,US,2671,55
South Dakota,US,23859,285
South Dakota,US,548,16
South Dakota,US,519,5
South Dakota,US,1769,45
South Dakota,US,453,3
South Dakota,US,1154,31
South Dakota,US,521,3
South Dakota,US,203,3
South Dakota,US,1979,39
South Dakota,US,986,21
South Dakota,US,1542,62
South Dakota,US,0,0
South Dakota,US,3049,47
South Dakota,US,1023,19
South Dakota,US,4438,44
South Dakota,US,487,11
Tennessee,US,14409,265
Tennessee,US,10042,204
Tennessee,US,3153,80
Tennessee,US,3657,38
Tennessee,US,25852,325
Tennessee,US,23701,320
Tennessee,US,8026,128
Tennessee,US,2991,50
Tennessee,US,6129,127
Tennessee,US,11672,268
Tennessee,US,7700,90
Tennessee,US,3806,80
Tennessee,US,6134,145
Tennessee,US,1649,40
Tennessee,US,8241,168
Tennessee,US,11365,213
Tennessee,US,3503,75
Tennessee,US,12041,275
Tennessee,US,135941,1384
Tennessee,US,4496,85
Tennessee,US,2567,49
Tennessee,US,11314,207
Tennessee,US,8570,165
Tennessee,US,8248,133
Tennessee,US,4033,89
Tennessee,US,8630,145
Tennessee,US,11335,214
Tennessee,US,6463,150
Tennessee,US,4797,91
Tennessee,US,15255,288
Tennessee,US,3033,64
Tennessee,US,14070,288
Tennessee,US,69890,901
Tennessee,US,1399,26
Tennessee,US,5462,96
Tennessee,US,5949,110
Tennessee,US,11519,240
Tennessee,US,4106,82
Tennessee,US,6101,118
Tennessee,US,5847,117
Tennessee,US,5030,92
Tennessee,US,2003,52
Tennessee,US,3527,59
Tennessee,US,2230,49
Tennessee,US,10836,215
Tennessee,US,4207,63
Tennessee,US,85554,1065
Tennessee,US,2065,34
Tennessee,US,5410,78
Tennessee,US,10163,158
Tennessee,US,2628,48
Tennessee,US,7038,133
Tennessee,US,9928,146
Tennessee,US,5914,118
Tennessee,US,19389,362
Tennessee,US,6132,110
Tennessee,US,7344,102
Tennessee,US,20925,271
Tennessee,US,11183,196
Tennessee,US,5010,86
Tennessee,US,2365,46
Tennessee,US,10353,196
Tennessee,US,36010,471
Tennessee,US,1524,31
Tennessee,US,4109,57
Tennessee,US,7383,147
Tennessee,US,32385,210
Tennessee,US,5213,106
Tennessee,US,1706,41
Tennessee,US,1168,28
Tennessee,US,3386,50
Tennessee,US,17874,262
Tennessee,US,7410,130
Tennessee,US,10791,184
Tennessee,US,15304,232
Tennessee,US,68185,731
Tennessee,US,6070,89
Tennessee,US,3206,59
Tennessee,US,22006,332
Tennessee,US,165757,2708
Tennessee,US,4431,64
Tennessee,US,2333,44
Tennessee,US,30945,544
Tennessee,US,38033,583
Tennessee,US,12806,179
Tennessee,US,3337,36
Tennessee,US,24067,180
Tennessee,US,3426,79
Tennessee,US,3694,64
Tennessee,US,1362,43
Tennessee,US,9131,152
Tennessee,US,25290,399
Tennessee,US,4283,47
Tennessee,US,6769,107
Tennessee,US,5978,115
Tennessee,US,44659,322
Tennessee,US,29941,404
Texas,US,8240,208
Texas,US,3067,65
Texas,US,14027,427
Texas,US,2697,67
Texas,US,1398,24
Texas,US,343,8
Texas,US,8960,211
Texas,US,3927,57
Texas,US,1123,30
Texas,US,2545,64
Texas,US,15008,191
Texas,US,606,24
Texas,US,5476,136
Texas,US,40806,751
Texas,US,339887,5341
Texas,US,1389,28
Texas,US,47,2
Texas,US,2591,59
Texas,US,13565,351
Texas,US,66632,869
Texas,US,40712,368
Texas,US,1115,24
Texas,US,262,7
Texas,US,1155,47
Texas,US,7413,176
Texas,US,3390,61
Texas,US,7846,134
Texas,US,8919,158
Texas,US,3984,39
Texas,US,2006,59
Texas,US,68329,1838
Texas,US,2204,68
Texas,US,932,29
Texas,US,4790,162
Texas,US,1483,41
Texas,US,9208,59
Texas,US,6951,229
Texas,US,1869,23
Texas,US,1644,26
Texas,US,524,20
Texas,US,712,18
Texas,US,1244,59
Texas,US,141074,1217
Texas,US,474,11
Texas,US,2724,56
Texas,US,21406,479
Texas,US,2426,67
Texas,US,793,10
Texas,US,5394,109
Texas,US,11088,169
Texas,US,257,9
Texas,US,1002,19
Texas,US,808,17
Texas,US,1132,41
Texas,US,418,11
Texas,US,1425,32
Texas,US,436400,5765
Texas,US,2291,82
Texas,US,3049,86
Texas,US,3732,100
Texas,US,736,22
Texas,US,116830,1088
Texas,US,280,15
Texas,US,3867,47
Texas,US,729,18
Texas,US,2034,61
Texas,US,2346,90
Texas,US,28114,571
Texas,US,343,9
Texas,US,167363,3136
Texas,US,35546,491
Texas,US,6616,109
Texas,US,2651,52
Texas,US,5233,154
Texas,US,3746,95
Texas,US,457,19
Texas,US,1320,40
Texas,US,189,10
Texas,US,114766,1061
Texas,US,1460,37
Texas,US,2846,73
Texas,US,4261,78
Texas,US,2212,68
Texas,US,69471,729
Texas,US,767,25
Texas,US,3792,84
Texas,US,163,3
Texas,US,681,28
Texas,US,3643,88
Texas,US,4372,95
Texas,US,17115,530
Texas,US,19691,587
Texas,US,5533,110
Texas,US,25841,348
Texas,US,8368,203
Texas,US,647,15
Texas,US,1388,29
Texas,US,1277,27
Texas,US,463,14
Texas,US,10652,215
Texas,US,648088,9740
Texas,US,9526,189
Texas,US,1000,2
Texas,US,686,37
Texas,US,37439,414
Texas,US,817,3
Texas,US,10251,354
Texas,US,123725,3528
Texas,US,6042,174
Texas,US,4668,141
Texas,US,10261,216
Texas,US,6407,153
Texas,US,3006,90
Texas,US,5992,152
Texas,US,631,14
Texas,US,11567,317
Texas,US,4407,108
Texas,US,211,2
Texas,US,1068,22
Texas,US,2809,52
Texas,US,4252,165
Texas,US,213,6
Texas,US,33485,736
Texas,US,954,20
Texas,US,7436,183
Texas,US,30603,592
Texas,US,3392,79
Texas,US,4321,58
Texas,US,25329,453
Texas,US,5439,102
Texas,US,61,2
Texas,US,155,3
Texas,US,7358,142
Texas,US,459,11
Texas,US,27,0
Texas,US,529,10
Texas,US,4446,133
Texas,US,390,22
Texas,US,1457,41
Texas,US,9126,221
Texas,US,3150,99
Texas,US,3685,71
Texas,US,3283,100
Texas,US,3057,54
Texas,US,2558,75
Texas,US,13606,364
Texas,US,3761,111
Texas,US,496,12
Texas,US,1767,38
Texas,US,2853,84
Texas,US,22,0
Texas,US,71439,1099
Texas,US,946,29
Texas,US,2613,46
Texas,US,1227,55
Texas,US,913,24
Texas,US,589,8
Texas,US,6310,162
Texas,US,13346,416
Texas,US,980,40
Texas,US,44547,770
Texas,US,119,8
Texas,US,7209,173
Texas,US,359,11
Texas,US,30298,411
Texas,US,3892,91
Texas,US,965,28
Texas,US,1041,43
Texas,US,3288,99
Texas,US,95280,1135
Texas,US,3803,93
Texas,US,1775,58
Texas,US,181,9
Texas,US,8261,239
Texas,US,9247,195
Texas,US,987,54
Texas,US,2561,85
Texas,US,70219,1312
Texas,US,1708,39
Texas,US,408,6
Texas,US,14085,306
Texas,US,5048,130
Texas,US,3096,111
Texas,US,25807,356
Texas,US,1681,44
Texas,US,2411,58
Texas,US,6084,220
Texas,US,27044,608
Texas,US,933,30
Texas,US,1677,49
Texas,US,27054,407
Texas,US,648,10
Texas,US,593,21
Texas,US,1534,57
Texas,US,3835,60
Texas,US,1217,31
Texas,US,120,1
Texas,US,3031,68
Texas,US,18559,228
Texas,US,1786,56
Texas,US,8428,191
Texas,US,986,77
Texas,US,904,38
Texas,US,3124,83
Texas,US,7323,301
Texas,US,1009,29
Texas,US,379,9
Texas,US,3688,92
Texas,US,573,9
Texas,US,3077,114
Texas,US,318,16
Texas,US,38011,837
Texas,US,1561,26
Texas,US,12092,337
Texas,US,1321,37
Texas,US,187,5
Texas,US,245,6
Texas,US,655,11
Texas,US,1557,25
Texas,US,387921,5023
Texas,US,24329,618
Texas,US,111,3
Texas,US,2451,73
Texas,US,143,7
Texas,US,6163,105
Texas,US,26732,395
Texas,US,133466,1500
Texas,US,1728,64
Texas,US,2586,73
Texas,US,0,0
Texas,US,6069,158
Texas,US,666,15
Texas,US,6551,120
Texas,US,10866,258
Texas,US,8445,233
Texas,US,13266,357
Texas,US,12419,189
Texas,US,7060,87
Texas,US,2092,35
Texas,US,6093,135
Texas,US,58076,925
Texas,US,6502,193
Texas,US,863,15
Texas,US,22850,545
Texas,US,2591,72
Texas,US,5003,114
Texas,US,83809,752
Texas,US,7862,144
Texas,US,1395,32
Texas,US,12060,213
Texas,US,7016,241
Texas,US,1381,35
Texas,US,3101,74
Texas,US,2289,46
Texas,US,2601,56
Utah,US,35871,195
Utah,US,15365,128
Utah,US,65556,311
Utah,US,226602,1314
Utah,US,2863,45
Utah,US,7242,61
Utah,US,46547,497
Utah,US,8553,19
Utah,US,14270,83
Utah,US,9227,82
Utah,US,1864,2
Utah,US,144502,656
Utah,US,7186,31
Utah,US,51344,363
Vermont,US,2548,10
Vermont,US,5524,45
Vermont,US,3221,21
Vermont,US,16325,138
Vermont,US,874,3
Vermont,US,5342,56
Vermont,US,553,3
Vermont,US,2150,11
Vermont,US,2132,9
Vermont,US,3859,29
Vermont,US,7215,40
Vermont,US,713,0
Vermont,US,5235,32
Vermont,US,3735,30
Vermont,US,5021,44
Virgin Islands,US,9648,89
Virginia,US,4545,83
Virginia,US,9744,117
Virginia,US,18480,161
Virginia,US,2512,87
Virginia,US,1743,44
Virginia,US,4894,63
Virginia,US,2727,38
Virginia,US,26170,283
Virginia,US,12068,141
Virginia,US,582,15
Virginia,US,11447,176
Virginia,US,1185,18
Virginia,US,4825,66
Virginia,US,2718,58
Virginia,US,1930,36
Virginia,US,3110,87
Virginia,US,2882,41
Virginia,US,1511,34
Virginia,US,8364,157
Virginia,US,4847,58
Virginia,US,4745,113
Virginia,US,829,22
Virginia,US,1535,30
Virginia,US,6225,64
Virginia,US,33380,381
Virginia,US,48029,607
Virginia,US,1827,33
Virginia,US,3095,71
Virginia,US,818,19
